1	level	en	syno1	syno2	jp	yomi	sen
2		contingency	incident		不慮の事故		We have to be prepared to deal with contingencies.
3		contingent on	dependent on		次第である		Success is contingent on one's own efforts.
5		delegate	representative	envoy	代表者		Delegates from 187 countries met to begin framing a new global warming treaty.
6		treaty	agreement		条約		
7		periodical			定期刊行物	ていきかんこうぶつ	The library subscribes to approximately 200 periodicals.
8		wheelbarrow			手押し車		The man is pushing a wheelbarrow.
9		wholesale			卸売り		The wholesale is much cheaper than retail.
10		diner			食事客		The restaurant is almost full of diners.
11		surplus			黒字		When revenue is higher than spending, the government budget is in surplus.
12		excerpt	extract		抜粋		This is an excerpt from Kazuo Ishiguro's novel.
13		abridged version			簡約版		I read an abridged version of Les Miserables yesterday.
14		amphibian			両生類		One third of the world's amphibian species are in danger of extinction.
15		liaison	mediator		連絡係		He serves as a liaison between labor and management.
16	1	remuneration	compensation		報酬		Each participant received $100 as remuneration for participating in the study.
17		subsidies			補助金		The government is planning to increase solar panel subsidies.
18		subsidize			補助金を与える		Private schools are subsidized by the government.
19	1	subside			おさまる		The doctor said the pain would subside in a few days.
20		alleviate			緩和する		The medicine will alleviate your pain if you take it every day.
21	1	compliance	obedience		順守		Compliance with the laws is mandatory for all employees.
22	1	observance			遵守		Observance of human rights is a precondition of democracy.
23	1	observe			監視する、規則を守る、祝日を祝う		Many countries observe New Year’s Day as a holiday.
24		remittance			送金		Remittance should be made by either a personal check, bank draft, or money order.
25		revelation			意外な新事実		This information was a revelation to me.
26		mandate			権限		The government has a mandate to govern the country.
27		trustee			理事		She is a member of the university board of trustees.
28		quota			ノルマ、割り当て		Bonuses are available for those who meet their quotas.
29	1	concession	compromise		譲歩		No concessions must be made to terrorists.
30		curve			抑制する		The government should curve its expenditure.
31		incur			を負う		The auto manufacturer incurred a $10 million loss in the previous quarter.
32	1	facilitate			促進する		The economic stimulus package will facilitate economic recovery.
33		foster			促進する		The program aims to foster better communication among staff.
34	1	undertake			着手する		The company needs to undertake major restructuring of its operation.
35	1	embark on			着手する		The government is embarking on a major reform of education.
36		infer			推測している		I inferred from his tone that he didn't like my proposal.
37		deteriorate			悪化している		The economic situation has been deteriorating worldwide.
38	1	entail doing	involve doing		を伴う		Owning a car entails spending a lot of money on gas, insurance, maintenance and so on.
39		withhold			与えずにおく		Some people think that the US should withhold economic aid to the country.
40		liquidate			解散する		A unanimous vote was taken to liquidate the firm.
