level	tr	yomi	sen
	contingency=incident=不慮の事故		We have to be prepared to deal with contingencies.
	contingent on=dependent on=次第である		Success is contingent on one's own efforts.
	delegate=representative=envoy=代表者、treaty=agreement=条約		Delegates from 187 countries met to begin framing a new global warming treaty.
	periodical=定期刊行物		The library subscribes to approximately 200 periodicals.
	wheelbarrow=手押し車		The man is pushing a wheelbarrow.
	wholesale=卸売り		The wholesale is much cheaper than retail.
	diner=食事客		The restaurant is almost full of diners.
	surplus=黒字		When revenue is higher than spending, the government budget is in surplus.
	excerpt=extract=抜粋		This is an excerpt from Shakespeare's novel.
	abridged version=簡約版		I read an abridged version of Pride and Prejudice yesterday.
	amphibian=両生類		1/3 of amphibian species are in danger of extinction.
	liaison=mediator=連絡係		He serves as a liaison between labor and management.
	remuneration=compensation=報酬		Each participant received $100 as remuneration for participating in the study.
	subsidies=補助金		The government is planning to increase solar panel subsidies.
	subsidize=補助金を与える		Private schools are subsidized by the government.
	subside=おさまる		The doctor said the pain would subside in a few days.
	alleviate=緩和する		The medicine will alleviate your pain if you take it every day.
	compliance=obedience=順守		Compliance with the laws is mandatory for all employees.
	observance=遵守		Observance of human rights is a precondition of democracy.
	observe=監視する、規則を守る、祝日を祝う		Many countries observe New Year’s Day as a holiday.
	remittance=送金		Remittance should be made by either a personal check, bank draft, or money order.
	revelation=意外な新事実		This information was a revelation to me.
	mandate=権限		The government has a mandate to govern the country.
	trustee=理事		She is a member of the university board of trustees.
	quota=ノルマ、割り当て		Bonuses are available for those who meet their quotas.
	concession=compromise=譲歩		No concessions must be made to terrorists.
	curve=抑制する		The government should curve its expenditure.
	incur=を負う		The auto manufacturer incurred a $10 million loss in the previous quarter.
	facilitate=促進する		The economic stimulus package will facilitate economic recovery.
	foster=促進する		The program aims to foster better communication among staff.
	undertake=着手する		The company needs to undertake major restructuring of its operation.
	embark on=着手する		The government is embarking on a major reform of education.
	infer=推測している		I inferred from his tone that he didn't like my proposal.
	deteriorate=悪化している		The economic situation has been deteriorating worldwide.
	entail doing=involve doing=を伴う		Owning a car entailed spending a lot of money on gas, insurance, maintenance and so on.
	withhold=与えずにおく		Some people think that the US should withhold economic aid to the country.
	liquidate=解散する		A unanimous vote was taken to liquidate the firm.
	liquidation=破産		The insurance company went into liquidation with debts of $2 billion.
	commend=褒める		I would like to commend her for her commitment to the company.
	streamline=合理化する		We need to streamline operations and maximize productivity.
	convene=summon=招集する		The meeting was convened to discuss the current economic crisis.
	solicit=ask for=求める		It is illegal for legislators to solicit gifts from lobbyists.
	invigorate=活性化させる		The city has been looking for ways to invigorate the local economy.
	constitute=構成する		Muslims constitute about 10 percent of the population.
	famines=飢饉		They speculate that global warming may lead to drought, forest fires, and famines.
	comprehensive=包括的な		The two countries have entered into comprehensive peace talks.
	alternate=交互に		The boys and girls are sitting in alternate seats.
	municipal=地方自治の		The municipal election will be held on July 17.
	dependable=信頼できる		I doubt that the information is dependable.
	challenging=やりがいのある		The music was complex and difficult, but challenging and fun to play.
	impending=imminent=近々の		He has announced his impending retirement from politics.
	lucrative=もうかる		This partnership will be very lucrative for both companies.
	inclement=荒れ模様の		The flight was cancelled due to inclement weather.
	profound=重大な、意味深い		The experience of war had a profound effect on him.
	interpersonal=対人関係の		Interpersonal skills are essential for this position.
	fiscal=会計の		Most companies' fiscal year starts in April in Japan.
	nominal=ごくわずかの		We can deliver your order for a nominal fee.
	advisable=望ましい		It is advisable to reserve your seats as early as possible.
	integral=不可欠な		Collaboration is integral to the success of the project.
	stringent=厳しい		The government introduced more stringent security measures.
	affluent=豊かな		Switzerland is one of the most affluent countries in the world.
	adverse=不都合な		The game was called off due to adverse weather conditions.
	adversary=ライバル		Hillary Clinton was Obama's adversary in the Democratic primaries.
	averse to=きらっている		He is averse to taking advice from others.
	avert=防ぐ		Countries should take urgent measures to avert the ongoing financial crisis.
	deter=防ぐ		Do you think the death penalty deters crime?
	deter A from doing=Aに～するのをやめさせる		The global economic crisis has deterred people from spending money.
	forbid A from doing=Aに～するのをやめさせる（過去形注意）		Her parents forbade her to see her boyfriend.
	hamper=妨げる		The rescue operation was hampered by bad weather.
	impede=妨げる		Unfavourable circumstances impede development.
	preclude A from doing=Aがするのを妨げる		Bad weather precluded a welcoming ceremony from taking place.
	binding=拘束力のある		The agreement is legally binding.
	imperative=絶対必要		It is imperative that everyone attend the next meeting.
UK	redundant=解雇された		About 200 workers were made redundant.
UK	dismissal=解雇		The factory employees were notified of their dismissal.
UK	redundancy=解雇		The automaker announced the redundancies of 3000 staff.
	conspicuous=目立つ		She was conspicuous by her absence.
	logistics=物流		Logistics costs account for 13-15 percent of the GDP.
	telecommunication=長距離通信		Developments in telecommunications have changed our society.
	tribute=敬意		I would like to pay tribute to his remarkable contribution to the project.
	inception=発足		Since its inception in 2002, the company has been engaged in over 100 projects.
	artisan=熟練工		Small manufacturers are faced with an acute shortage of skilled artisans.
	bookkeeping=簿記		At least five years experience in bookkeeping is required.
	deliberation=熟慮		After much deliberation, she decided to quit her job.
	lapse=ちょっとした誤り		Anyone can have a lapse of memory.
	proprietor=経営者		He is the proprietor of a real estate company.
	shortcoming=欠点		Everyone has shortcomings and makes mistakes.
	timepiece=時計		The timepiece is powered by the sun.
	affiliate=系列会社		He was transferred to an affiliate of the company.
	affiliation=提携		The hospital has affiliations with many other hospitals.
	integrity=誠実な		He is a man of high integrity.
	petition=請願書		Over 60 percent of the residents signed a petition against the closure of the local hospital.
	allegation=申し立て		She made allegations of sexual harassment against her supervisor.
	litigation=訴訟		The company agreed to the settlement to avoid litigation.
	insurer=保険会社		If you need to make an insurance claim, please contact your insurer directly.
	merit=功績		Promotion should be based on merit, not seniority.
	ordinance=条例		The ordinance raised the height limitation from 30 to 35 feet in all residential district.
	ordinance=条例		The ordinance prohibits smoking in public areas.
	usher=案内がかり		If you arrive late, an usher will lead you to your seat.
	vocation=天職		He found his vocation as a composer after some years spent as a pianist.
	vocational=職業の		The government should promote vocational training to young people.
	influx=流入		The country is faced with an influx of refugees.
	speculator=投機家		The government should prevent speculators from manipulating stock prices.
	feat=偉業		The space station is a remarkable feat of engineering.
	purveyor=供給業者		We are a purveyor of fine women's clothing.
	ripple=さざ波		There are some ripples on the water surface.
	upside=よい面		Is there any upside in starting a new business when the economy is shrinking?
	morale=士気・やる気		The management is concerned about employee morale.
	aptitude=才能		She has a wonderful aptitude for music.
	conglomerate=複合企業		The company is the largest media conglomerate in the world
	setback=後退		The world is facing a serious economic setback.
	tariff=関税		The United States lowered tariffs on Australian beef.
